data	dostawca	iloϾ	rok	cena				
14.07.2014	799-94-72	40	2014	665				
15.07.2014	904-16-42	14	2014	665				
15.07.2014	043-34-53	17	2014	665				
17.07.2014	851-69-49	15	2014	665				
19.07.2014	941-01-60	43	2014	665				
23.07.2014	620-15-33	13	2014	665				
26.07.2014	941-01-60	21	2014	665				
26.07.2014	847-48-41	15	2014	665				
27.07.2014	599-00-55	13	2014	665				
28.07.2014	368-99-22	2	2014	665				
30.07.2014	941-01-60	46	2014	665				
31.07.2014	153-24-82	9	2014	665				
04.08.2014	527-15-00	18	2014	665				
05.08.2014	178-41-36	19	2014	665				
06.08.2014	847-48-41	17	2014	665				
07.08.2014	322-66-15	84	2014	665				
07.08.2014	284-59-84	8	2014	665				
07.08.2014	513-33-14	66	2014	665				
08.08.2014	916-94-78	35	2014	665				
09.08.2014	534-94-49	91	2014	665				
14.08.2014	254-14-00	39	2014	665				
14.08.2014	982-09-19	6	2014	665				
16.08.2014	378-70-08	47	2014	665				
18.08.2014	080-51-85	41	2014	665				
19.08.2014	884-31-58	13	2014	665				
20.08.2014	047-70-78	16	2014	665				
22.08.2014	300-07-32	18	2014	665				
26.08.2014	340-11-17	11	2014	665				
26.08.2014	970-73-69	8	2014	665				
26.08.2014	740-87-37	16	2014	665				
26.08.2014	378-70-08	54	2014	665				
27.08.2014	941-01-60	29	2014	665				
29.08.2014	513-33-14	16	2014	665				
30.08.2014	847-48-41	10	2014	665				
31.08.2014	904-16-42	41	2014	665				
31.08.2014	761-06-34	31	2014	665				
02.09.2014	053-79-35	8	2014	665				
05.09.2014	080-51-85	63	2014	665				
08.09.2014	594-18-15	36	2014	665				
09.09.2014	773-39-15	10	2014	665				
10.09.2014	885-74-10	47	2014	665				
10.09.2014	941-01-60	44	2014	665				
11.09.2014	513-33-14	10	2014	665				
12.09.2014	314-76-34	13	2014	665				
12.09.2014	495-93-92	89	2014	665				
12.09.2014	935-78-99	10	2014	665				
12.09.2014	254-14-00	14	2014	665				
14.09.2014	847-48-41	39	2014	665				
16.09.2014	378-70-08	47	2014	665				
18.09.2014	941-01-60	44	2014	665				
18.09.2014	936-67-95	39	2014	665				
18.09.2014	904-16-42	61	2014	665				
21.09.2014	527-15-00	89	2014	665				
23.09.2014	033-49-11	27	2014	665				
26.09.2014	269-65-16	81	2014	665				
29.09.2014	392-78-93	43	2014	665				
29.09.2014	847-48-41	84	2014	665				
30.09.2014	043-34-53	22	2014	665				
02.10.2014	936-67-95	93	2014	665				
04.10.2014	378-70-08	18	2014	665				
05.10.2014	594-18-15	73	2014	665				
08.10.2014	178-24-36	39	2014	665				
09.10.2014	351-06-97	8	2014	665				
14.10.2014	378-70-08	13	2014	665				
14.10.2014	885-74-10	76	2014	665				
15.10.2014	530-86-39	17	2014	665				
16.10.2014	054-09-46	17	2014	665				
19.10.2014	014-02-05	2	2014	665				
21.10.2014	080-51-85	12	2014	665				
22.10.2014	941-01-60	23	2014	665				
28.10.2014	513-33-14	53	2014	665				
29.10.2014	916-94-78	16	2014	665				
29.10.2014	749-02-70	17	2014	665				
31.10.2014	269-65-16	10	2014	665				
02.11.2014	900-85-70	2	2014	665				
02.11.2014	847-48-41	27	2014	665				
07.11.2014	534-94-49	18	2014	665				
08.11.2014	254-14-00	43	2014	665				
12.11.2014	954-85-72	10	2014	665				
14.11.2014	804-82-65	9	2014	665				
15.11.2014	337-27-67	38	2014	665				
15.11.2014	534-94-49	18	2014	665				
17.11.2014	904-16-42	16	2014	665				
17.11.2014	620-15-33	11	2014	665				
19.11.2014	513-33-14	58	2014	665				
19.11.2014	277-10-19	16	2014	665				
20.11.2014	662-14-22	17	2014	665				
21.11.2014	594-18-15	17	2014	665				
22.11.2014	773-39-15	33	2014	665				
25.11.2014	269-65-16	60	2014	665				
27.11.2014	140-36-11	8	2014	665				
02.12.2014	847-48-41	31	2014	665				
04.12.2014	403-50-07	3	2014	665				
06.12.2014	182-72-86	16	2014	665				
15.12.2014	153-24-82	2	2014	665				
20.12.2014	749-02-70	16	2014	665				
23.12.2014	916-94-78	18	2014	665				
23.12.2014	296-66-33	17	2014	665				
24.12.2014	550-69-18	5	2014	665				
26.12.2014	662-14-22	10	2014	665				
26.12.2014	799-94-72	22	2014	665				
31.12.2014	413-93-89	36	2014	665				
05.01.2015	799-94-72	29	2015	671				
09.01.2015	322-66-15	26	2015	671				
09.01.2015	015-89-55	16	2015	671				
13.01.2015	847-48-41	16	2015	671				
13.01.2015	824-54-79	20	2015	671				
18.01.2015	029-43-78	2	2015	671				
18.01.2015	172-30-09	7	2015	671				
18.01.2015	665-06-94	7	2015	671				
18.01.2015	773-39-15	72	2015	671				
19.01.2015	884-31-58	59	2015	671				
20.01.2015	392-78-93	21	2015	671				
25.01.2015	413-93-89	19	2015	671				
25.01.2015	126-55-91	16	2015	671				
29.01.2015	904-16-42	18	2015	671				
04.02.2015	413-93-89	36	2015	671				
07.02.2015	968-49-97	19	2015	671				
07.02.2015	799-94-72	45	2015	671				
07.02.2015	178-24-36	22	2015	671				
08.02.2015	368-99-22	1	2015	671				
10.02.2015	322-66-15	17	2015	671				
10.02.2015	804-82-65	19	2015	671				
10.02.2015	413-93-89	46	2015	671				
14.02.2015	254-14-00	23	2015	671				
18.02.2015	847-48-41	38	2015	671				
19.02.2015	392-78-93	26	2015	671				
20.02.2015	269-65-16	16	2015	671				
21.02.2015	205-96-13	14	2015	671				
22.02.2015	884-31-58	98	2015	671				
05.03.2015	325-70-30	16	2015	671				
05.03.2015	294-48-56	80	2015	671				
09.03.2015	761-06-34	12	2015	671				
11.03.2015	080-51-85	17	2015	671				
12.03.2015	692-61-16	28	2015	671				
13.03.2015	374-01-18	12	2015	671				
15.03.2015	985-21-38	10	2015	671				
16.03.2015	534-94-49	65	2015	671				
17.03.2015	967-21-71	17	2015	671				
17.03.2015	847-48-41	26	2015	671				
17.03.2015	430-67-31	20	2015	671				
26.03.2015	254-14-00	22	2015	671				
02.04.2015	495-93-92	19	2015	671				
07.04.2015	534-94-49	70	2015	671				
09.04.2015	995-59-41	17	2015	671				
09.04.2015	162-82-16	1	2015	671				
11.04.2015	824-54-79	13	2015	671				
12.04.2015	847-48-41	29	2015	671				
12.04.2015	277-10-19	11	2015	671				
14.04.2015	941-01-60	16	2015	671				
15.04.2015	507-22-76	17	2015	671				
16.04.2015	269-65-16	19	2015	671				
18.04.2015	337-27-67	12	2015	671				
20.04.2015	847-48-41	19	2015	671				
20.04.2015	963-43-52	4	2015	671				
20.04.2015	413-93-89	11	2015	671				
20.04.2015	269-65-16	12	2015	671				
21.04.2015	527-15-00	15	2015	671				
22.04.2015	194-54-73	19	2015	671				
28.04.2015	178-24-36	28	2015	671				
28.04.2015	033-49-11	13	2015	671				
09.05.2015	410-52-79	41	2015	671				
10.05.2015	392-78-93	38	2015	671				
11.05.2015	781-80-31	17	2015	671				
11.05.2015	347-48-90	20	2015	671				
15.05.2015	050-38-86	19	2015	671				
16.05.2015	715-03-63	13	2015	671				
17.05.2015	325-70-30	13	2015	671				
19.05.2015	936-67-95	16	2015	671				
19.05.2015	164-61-25	18	2015	671				
19.05.2015	799-94-72	13	2015	671				
20.05.2015	178-24-36	18	2015	671				
21.05.2015	337-27-67	41	2015	671				
23.05.2015	043-34-53	40	2015	671				
24.05.2015	916-94-78	16	2015	671				
25.05.2015	527-15-00	17	2015	671				
26.05.2015	561-00-46	2	2015	671				
26.05.2015	531-41-11	18	2015	671				
27.05.2015	423-71-31	15	2015	671				
28.05.2015	995-59-41	24	2015	671				
29.05.2015	413-93-89	46	2015	671				
29.05.2015	192-09-72	8	2015	671				
30.05.2015	885-74-10	15	2015	671				
31.05.2015	495-93-92	72	2015	671				
31.05.2015	847-48-41	21	2015	671				
03.06.2015	761-06-34	16	2015	671				
03.06.2015	392-78-93	42	2015	671				
08.06.2015	885-74-10	63	2015	671				
11.06.2015	534-94-49	10	2015	671				
19.06.2015	178-24-36	13	2015	671				
20.06.2015	994-52-74	7	2015	671				
29.06.2015	904-16-42	11	2015	671				
29.06.2015	940-29-78	12	2015	671				
05.07.2015	847-48-41	44	2015	671				
07.07.2015	495-93-92	73	2015	671				
10.07.2015	244-64-83	15	2015	671				
10.07.2015	316-37-00	9	2015	671				
11.07.2015	211-13-01	20	2015	671				
13.07.2015	982-37-73	9	2015	671				
14.07.2015	950-40-82	88	2015	671				
14.07.2015	254-14-00	13	2015	671				
15.07.2015	178-24-36	34	2015	671				
21.07.2015	430-90-28	3	2015	671				
21.07.2015	035-32-41	9	2015	671				
21.07.2015	847-48-41	32	2015	671				
22.07.2015	995-59-41	38	2015	671				
26.07.2015	413-93-89	29	2015	671				
27.07.2015	594-18-15	12	2015	671				
27.07.2015	410-52-79	17	2015	671				
29.07.2015	847-48-41	49	2015	671				
30.07.2015	847-48-41	10	2015	671				
31.07.2015	534-94-49	14	2015	671				
01.08.2015	033-49-11	14	2015	671				
03.08.2015	967-21-71	8	2015	671				
08.08.2015	322-66-15	17	2015	671				
12.08.2015	254-14-00	29	2015	671				
14.08.2015	799-94-72	42	2015	671				
17.08.2015	164-61-25	12	2015	671				
20.08.2015	322-66-15	10	2015	671				
21.08.2015	968-49-97	97	2015	671				
22.08.2015	294-48-56	17	2015	671				
25.08.2015	941-01-60	25	2015	671				
26.08.2015	192-09-72	20	2015	671				
26.08.2015	194-54-73	10	2015	671				
27.08.2015	254-14-00	40	2015	671				
28.08.2015	178-24-36	29	2015	671				
28.08.2015	884-31-58	13	2015	671				
28.08.2015	968-49-97	33	2015	671				
31.08.2015	799-94-72	22	2015	671				
31.08.2015	378-70-08	11	2015	671				
03.09.2015	885-74-10	13	2015	671				
03.09.2015	534-94-49	52	2015	671				
03.09.2015	378-70-08	33	2015	671				
04.09.2015	692-61-16	57	2015	671				
06.09.2015	115-65-39	19	2015	671				
06.09.2015	900-85-70	8	2015	671				
06.09.2015	254-14-00	25	2015	671				
08.09.2015	884-31-58	10	2015	671				
12.09.2015	269-65-16	78	2015	671				
13.09.2015	254-14-00	36	2015	671				
14.09.2015	527-15-00	52	2015	671				
15.09.2015	995-59-41	34	2015	671				
17.09.2015	495-93-92	19	2015	671				
18.09.2015	609-57-46	4	2015	671				
19.09.2015	373-76-82	8	2015	671				
19.09.2015	800-16-32	11	2015	671				
19.09.2015	047-70-78	10	2015	671				
22.09.2015	692-61-16	96	2015	671				
22.09.2015	322-66-15	30	2015	671				
23.09.2015	080-77-49	17	2015	671				
26.09.2015	035-32-41	17	2015	671				
26.09.2015	904-16-42	18	2015	671				
26.09.2015	935-78-99	94	2015	671				
27.09.2015	761-06-34	45	2015	671				
28.09.2015	254-14-00	38	2015	671				
28.09.2015	715-03-63	5	2015	671				
02.10.2015	916-94-78	17	2015	671				
06.10.2015	392-78-93	19	2015	671				
09.10.2015	413-93-89	28	2015	671				
12.10.2015	115-65-39	42	2015	671				
14.10.2015	043-34-53	16	2015	671				
20.10.2015	413-93-89	11	2015	671				
25.10.2015	884-31-58	75	2015	671				
26.10.2015	392-78-93	40	2015	671				
30.10.2015	413-93-89	46	2015	671				
01.11.2015	043-34-53	19	2015	671				
01.11.2015	513-33-14	12	2015	671				
01.11.2015	080-51-85	18	2015	671				
06.11.2015	904-16-42	13	2015	671				
09.11.2015	314-76-34	10	2015	671				
12.11.2015	941-01-60	43	2015	671				
14.11.2015	903-82-46	20	2015	671				
15.11.2015	799-94-72	10	2015	671				
20.11.2015	916-94-78	62	2015	671				
20.11.2015	254-14-00	42	2015	671				
23.11.2015	392-78-93	30	2015	671				
24.11.2015	872-13-44	20	2015	671				
27.11.2015	847-48-41	23	2015	671				
28.11.2015	033-49-11	15	2015	671				
29.11.2015	970-87-50	6	2015	671				
02.12.2015	043-34-53	12	2015	671				
04.12.2015	562-39-79	7	2015	671				
05.12.2015	473-30-19	7	2015	671				
07.12.2015	392-78-93	10	2015	671				
08.12.2015	513-33-14	58	2015	671				
08.12.2015	179-23-02	18	2015	671				
10.12.2015	941-01-60	16	2015	671				
10.12.2015	958-71-87	14	2015	671				
11.12.2015	281-47-91	4	2015	671				
12.12.2015	554-09-13	13	2015	671				
13.12.2015	254-14-00	42	2015	671				
14.12.2015	054-09-46	6	2015	671				
19.12.2015	424-70-61	15	2015	671				
20.12.2015	534-94-49	16	2015	671				
22.12.2015	941-01-60	19	2015	671				
28.12.2015	194-54-73	15	2015	671				
29.12.2015	033-49-11	27	2015	671				
30.12.2015	033-49-11	11	2015	671				
31.12.2015	692-61-16	21	2015	671				
31.12.2015	033-49-11	61	2015	671				
31.12.2015	413-93-89	45	2015	671				
01.01.2016	170-89-76	19	2016	655				
03.01.2016	322-66-15	81	2016	655				
04.01.2016	269-65-16	86	2016	655				
05.01.2016	254-14-00	14	2016	655				
11.01.2016	413-93-89	45	2016	655				
12.01.2016	377-37-44	20	2016	655				
14.01.2016	392-78-93	24	2016	655				
14.01.2016	967-21-71	19	2016	655				
15.01.2016	749-02-70	15	2016	655				
16.01.2016	033-49-11	99	2016	655				
18.01.2016	178-24-36	21	2016	655				
25.01.2016	799-94-72	34	2016	655				
28.01.2016	413-93-89	11	2016	655				
28.01.2016	961-86-77	12	2016	655				
30.01.2016	985-21-38	12	2016	655				
05.02.2016	904-16-42	13	2016	655				
08.02.2016	033-49-11	19	2016	655				
08.02.2016	045-63-27	5	2016	655				
08.02.2016	941-01-60	40	2016	655				
09.02.2016	749-02-70	20	2016	655				
12.02.2016	513-33-14	23	2016	655				
19.02.2016	392-78-93	33	2016	655				
20.02.2016	594-18-15	50	2016	655				
20.02.2016	182-72-86	9	2016	655				
22.02.2016	179-23-02	39	2016	655				
27.02.2016	773-39-15	15	2016	655				
28.02.2016	413-93-89	25	2016	655				
28.02.2016	824-54-79	14	2016	655				
01.03.2016	904-16-42	91	2016	655				
08.03.2016	904-16-42	68	2016	655				
09.03.2016	447-16-72	13	2016	655				
11.03.2016	378-70-08	11	2016	655				
13.03.2016	410-52-79	54	2016	655				
17.03.2016	434-21-90	10	2016	655				
21.03.2016	941-01-60	33	2016	655				
22.03.2016	534-94-49	80	2016	655				
24.03.2016	178-24-36	43	2016	655				
26.03.2016	941-01-60	26	2016	655				
26.03.2016	178-24-36	40	2016	655				
26.03.2016	594-18-15	39	2016	655				
26.03.2016	269-65-16	15	2016	655				
30.03.2016	904-16-42	14	2016	655				
31.03.2016	761-06-34	16	2016	655				
01.04.2016	423-71-31	11	2016	655				
02.04.2016	968-49-97	11	2016	655				
04.04.2016	865-19-31	12	2016	655				
05.04.2016	594-18-15	46	2016	655				
06.04.2016	527-15-00	40	2016	655				
07.04.2016	761-06-34	52	2016	655				
12.04.2016	970-73-69	12	2016	655				
14.04.2016	254-14-00	41	2016	655				
16.04.2016	413-93-89	26	2016	655				
16.04.2016	254-14-00	45	2016	655				
16.04.2016	968-49-97	30	2016	655				
19.04.2016	043-34-53	67	2016	655				
25.04.2016	799-94-72	49	2016	655				
28.04.2016	178-24-36	10	2016	655				
01.05.2016	254-14-00	32	2016	655				
02.05.2016	847-48-41	29	2016	655				
04.05.2016	904-16-42	17	2016	655				
06.05.2016	822-52-42	15	2016	655				
08.05.2016	692-61-16	65	2016	655				
10.05.2016	254-14-00	29	2016	655				
12.05.2016	885-74-10	13	2016	655				
13.05.2016	385-84-45	12	2016	655				
13.05.2016	269-65-16	11	2016	655				
16.05.2016	799-94-72	29	2016	655				
18.05.2016	773-41-40	18	2016	655				
18.05.2016	080-51-85	18	2016	655				
21.05.2016	378-70-08	11	2016	655				
25.05.2016	473-30-19	4	2016	655				
28.05.2016	799-94-72	41	2016	655				
28.05.2016	775-48-66	10	2016	655				
28.05.2016	269-65-16	15	2016	655				
29.05.2016	413-93-89	14	2016	655				
06.06.2016	080-51-85	12	2016	655				
14.06.2016	429-16-50	9	2016	655				
14.06.2016	413-93-89	12	2016	655				
15.06.2016	799-94-72	19	2016	655				
17.06.2016	322-66-15	11	2016	655				
17.06.2016	773-39-15	37	2016	655				
20.06.2016	968-49-97	19	2016	655				
21.06.2016	378-70-08	74	2016	655				
26.06.2016	275-38-81	18	2016	655				
30.06.2016	337-27-67	29	2016	655				
07.07.2016	847-48-41	20	2016	655				
07.07.2016	594-18-15	35	2016	655				
14.07.2016	410-52-79	11	2016	655				
15.07.2016	295-31-73	3	2016	655				
15.07.2016	392-78-93	44	2016	655				
15.07.2016	430-90-28	9	2016	655				
19.07.2016	941-01-60	44	2016	655				
20.07.2016	513-33-14	47	2016	655				
21.07.2016	240-56-56	14	2016	655				
26.07.2016	916-94-78	18	2016	655				
27.07.2016	392-78-93	35	2016	655				
28.07.2016	940-29-78	6	2016	655				
29.07.2016	284-59-84	18	2016	655				
31.07.2016	884-31-58	11	2016	655				
31.07.2016	885-74-10	15	2016	655				
01.08.2016	392-78-93	39	2016	655				
05.08.2016	767-55-58	7	2016	655				
07.08.2016	322-66-15	98	2016	655				
09.08.2016	392-78-93	40	2016	655				
11.08.2016	254-14-00	22	2016	655				
12.08.2016	534-94-49	14	2016	655				
13.08.2016	182-72-86	17	2016	655				
13.08.2016	847-48-41	26	2016	655				
14.08.2016	982-37-73	11	2016	655				
18.08.2016	495-93-92	18	2016	655				
20.08.2016	916-94-78	59	2016	655				
21.08.2016	527-15-00	45	2016	655				
21.08.2016	740-87-37	3	2016	655				
23.08.2016	692-61-16	52	2016	655				
23.08.2016	178-24-36	37	2016	655				
24.08.2016	962-06-61	2	2016	655				
24.08.2016	337-27-67	44	2016	655				
25.08.2016	495-93-92	93	2016	655				
30.08.2016	178-24-36	32	2016	655				
01.09.2016	178-24-36	21	2016	655				
01.09.2016	269-65-16	16	2016	655				
02.09.2016	176-54-34	20	2016	655				
03.09.2016	019-98-81	11	2016	655				
04.09.2016	799-94-72	29	2016	655				
06.09.2016	904-16-42	82	2016	655				
06.09.2016	033-49-11	18	2016	655				
08.09.2016	749-02-70	16	2016	655				
08.09.2016	534-94-49	14	2016	655				
09.09.2016	377-37-44	2	2016	655				
11.09.2016	178-24-36	34	2016	655				
11.09.2016	884-31-58	51	2016	655				
14.09.2016	749-02-70	14	2016	655				
14.09.2016	645-32-78	5	2016	655				
15.09.2016	254-14-00	26	2016	655				
15.09.2016	847-48-41	41	2016	655				
16.09.2016	847-48-41	46	2016	655				
16.09.2016	692-61-16	43	2016	655				
17.09.2016	885-74-10	40	2016	655				
19.09.2016	964-69-89	10	2016	655				
20.09.2016	847-48-41	19	2016	655				
23.09.2016	773-39-15	14	2016	655				
24.09.2016	322-66-15	10	2016	655				
25.09.2016	916-94-78	33	2016	655				
25.09.2016	950-40-82	78	2016	655				
26.09.2016	847-48-41	46	2016	655				
29.09.2016	392-78-93	47	2016	655				
02.10.2016	080-51-85	15	2016	655				
02.10.2016	163-92-64	17	2016	655				
06.10.2016	585-26-73	4	2016	655				
16.10.2016	594-18-15	13	2016	655				
16.10.2016	337-27-67	36	2016	655				
16.10.2016	179-23-02	60	2016	655				
20.10.2016	413-93-89	40	2016	655				
21.10.2016	396-32-41	3	2016	655				
25.10.2016	773-39-15	35	2016	655				
27.10.2016	941-01-60	44	2016	655				
27.10.2016	392-78-93	42	2016	655				
27.10.2016	736-91-47	2	2016	655				
30.10.2016	413-93-89	48	2016	655				
31.10.2016	916-94-78	65	2016	655				
02.11.2016	403-50-07	8	2016	655				
03.11.2016	495-93-92	52	2016	655				
06.11.2016	377-37-44	8	2016	655				
07.11.2016	254-14-00	14	2016	655				
08.11.2016	269-65-16	20	2016	655				
11.11.2016	799-94-72	39	2016	655				
12.11.2016	513-33-14	16	2016	655				
13.11.2016	513-33-14	69	2016	655				
21.11.2016	534-94-49	99	2016	655				
21.11.2016	115-65-39	57	2016	655				
22.11.2016	043-34-53	10	2016	655				
23.11.2016	609-57-46	2	2016	655				
26.11.2016	495-93-92	88	2016	655				
28.11.2016	916-94-78	85	2016	655				
28.11.2016	254-14-00	21	2016	655				
30.11.2016	254-14-00	14	2016	655				
05.12.2016	941-01-60	37	2016	655				
07.12.2016	968-49-97	89	2016	655				
09.12.2016	904-16-42	18	2016	655				
11.12.2016	513-33-14	13	2016	655				
11.12.2016	936-67-95	43	2016	655				
12.12.2016	534-94-49	16	2016	655				
12.12.2016	773-39-15	19	2016	655				
14.12.2016	351-06-97	7	2016	655				
16.12.2016	662-14-22	11	2016	655				
16.12.2016	080-51-85	14	2016	655				
17.12.2016	392-78-93	13	2016	655				
18.12.2016	033-49-11	13	2016	655				
18.12.2016	941-01-60	48	2016	655				
20.12.2016	941-01-60	48	2016	655				
22.12.2016	392-78-93	25	2016	655				
24.12.2016	080-51-85	10	2016	655				
24.12.2016	513-33-14	86	2016	655				
27.12.2016	378-70-08	16	2016	655				
28.12.2016	967-21-71	4	2016	655				
29.12.2016	033-49-11	15	2016	655				
30.12.2016	392-78-93	32	2016	655				
01.01.2017	045-63-27	1	2017	671				
01.01.2017	885-74-10	81	2017	671				
01.01.2017	941-01-60	43	2017	671				
02.01.2017	242-04-13	1	2017	671				
06.01.2017	773-39-15	17	2017	671				
09.01.2017	337-27-67	41	2017	671				
09.01.2017	288-84-37	13	2017	671				
10.01.2017	322-66-15	13	2017	671				
12.01.2017	193-47-03	4	2017	671				
15.01.2017	322-66-15	17	2017	671				
17.01.2017	403-50-07	14	2017	671				
18.01.2017	322-66-15	97	2017	671				
21.01.2017	692-61-16	81	2017	671				
22.01.2017	033-49-11	17	2017	671				
23.01.2017	916-94-78	13	2017	671				
23.01.2017	214-54-56	5	2017	671				
23.01.2017	269-65-16	10	2017	671				
27.01.2017	302-11-03	6	2017	671				
03.02.2017	337-27-67	17	2017	671				
05.02.2017	799-94-72	33	2017	671				
06.02.2017	337-27-67	36	2017	671				
06.02.2017	423-71-31	16	2017	671				
07.02.2017	594-18-15	21	2017	671				
11.02.2017	392-78-93	19	2017	671				
12.02.2017	208-84-31	11	2017	671				
13.02.2017	423-71-31	17	2017	671				
16.02.2017	527-15-00	62	2017	671				
16.02.2017	847-48-41	10	2017	671				
16.02.2017	996-09-76	9	2017	671				
17.02.2017	299-98-16	5	2017	671				
17.02.2017	392-78-93	45	2017	671				
18.02.2017	371-70-96	2	2017	671				
19.02.2017	941-01-60	33	2017	671				
20.02.2017	777-06-33	12	2017	671				
21.02.2017	314-76-34	12	2017	671				
22.02.2017	270-90-07	5	2017	671				
22.02.2017	811-91-92	2	2017	671				
23.02.2017	131-80-62	10	2017	671				
25.02.2017	392-78-93	30	2017	671				
27.02.2017	982-37-73	5	2017	671				
27.02.2017	799-94-72	44	2017	671				
28.02.2017	254-14-00	28	2017	671				
04.03.2017	128-69-77	6	2017	671				
05.03.2017	254-14-00	49	2017	671				
05.03.2017	527-15-00	19	2017	671				
06.03.2017	941-01-60	40	2017	671				
06.03.2017	378-70-08	15	2017	671				
06.03.2017	961-86-77	20	2017	671				
08.03.2017	507-22-76	54	2017	671				
08.03.2017	495-93-92	19	2017	671				
11.03.2017	138-66-38	11	2017	671				
12.03.2017	178-24-36	38	2017	671				
13.03.2017	749-02-70	46	2017	671				
14.03.2017	179-23-02	61	2017	671				
16.03.2017	378-70-08	16	2017	671				
17.03.2017	513-33-14	91	2017	671				
18.03.2017	240-21-54	10	2017	671				
20.03.2017	299-72-00	19	2017	671				
20.03.2017	105-89-55	2	2017	671				
21.03.2017	968-49-97	12	2017	671				
21.03.2017	178-24-36	24	2017	671				
21.03.2017	995-59-41	29	2017	671				
22.03.2017	178-24-36	40	2017	671				
23.03.2017	080-51-85	46	2017	671				
24.03.2017	513-33-14	10	2017	671				
